ID,sex,group,hab.stim.order,test.stim.order,age,num.hab,ttl.hab,hab1,hab2,hab3,hab.min.3,hab.min.2,hab.min.1,decrement,g.b.g.r,g.r.g.b,g.b.r.g,g.r.b.g,pretest,post-test
1,1,0,2,0,12.18,8,93.3,23.9,23.3,2,8,1.2,11.7,0.424796748,7.2,3.1,17.6,2.4,29,31.4
2,0,0,2,0,21.15,5,100.7,31.8,31.8,26.1,,8.2,2.7,0.121516165,6.5,5.2,6.9,2.9,29.8,16.2
3,0,0,2,0,21.06,5,69.2,31.6,13,9.6,,12.7,2.3,0.276752768,19,7,1.6,1.3,29.8,23
4,0,0,3,1,19.01,8,50.4,13.5,5.4,8.4,6.9,3.9,2,,15.7,2.5,3.5,15.9,29.3,31.4
5,0,0,3,1,22.08,6,77.2,31.3,13.8,9.1,17.6,3.3,2.2,0.426199262,31,22.2,17.5,4,29.3,30.7
6,1,0,2,0,14,5,42.5,12.3,16,5.7,,5.8,2.7,0.25,7.8,3.8,2.4,10.1,29,4.8
7,1,0,3,1,19.13,5,58.8,7.6,26.7,18.4,,5.1,1,0.115749526,2.5,11,1.1,1,28.9,30.2
8,1,0,3,1,17.19,11,181.9,26.2,6.1,27.7,6,2.7,14.1,0.38,2.4,2,2.4,1.2,27.5,31.1
9,0,0,3,1,17.27,6,70.6,23.9,16.7,7.3,4,14.3,4.3,0.471816284,14.1,1.9,7.8,2.3,28.9,30.2
10,0,0,2,0,18.11,5,71.7,18.1,31.4,4.6,,14.3,3.3,0.325323475,1,11.6,20.7,14.6,18.7,13.4
11,0,0,3,1,23.22,5,82.8,31.7,31.1,1.7,,3.2,15.1,0.28372093,21,7.4,31,25,13,31.2
13,1,1,0,0,26.03,4,44,31.6,6.4,3.4,2.7,,,0.065217391,3.3,4.7,10.8,2.7,29.1,14.1
14,1,1,0,0,18.06,8,143.3,30.7,31.6,6,1.9,18.6,8.2,0.420204978,11.4,4,31.5,3.8,29.4,14.4
15,1,1,1,1,17.02,7,86.1,15.9,6.7,23,7.1,5.1,3.5,0.344298246,4.5,15.1,5.2,3.5,14.6,3.7
16,0,1,0,0,22.2,6,33.9,7.9,3.7,13.6,4.2,1.6,3,0.349206349,3.3,6.4,2.1,4,15.4,18.3
17,1,1,1,1,33.29,5,38,17.7,5.6,6.4,,4.3,4.1,0.282828283,14.9,2.8,8.6,3.6,26.2,17.7
18,1,1,1,1,17.16,6,26.6,9.3,5.3,3.4,2.2,4.3,2.2,0.483333333,4.1,1.2,1.7,4.3,29.4,31.1
19,0,1,0,0,24.2,4,57.9,31.8,8.9,13.7,,,3.5,0.064338235,12.8,2.6,3.3,2.7,29.8,13.1
20,1,1,0,0,18.19,5,96.8,31.8,31.8,23.2,,7.8,2.2,0.115207373,8.1,5.8,7.4,29.5,29.4,31.8
21,0,1,0,0,12,7,118,30.8,11.3,30.8,2.5,4.7,6.6,0.189300412,20.8,31.5,2.1,23.5,2.1,20.5
22,0,1,1,1,16.25,5,97.2,31.4,30.7,25.5,,3.6,6.1,0.110730594,2,17.9,13.9,2.2,28.9,31
24,1,1,0,0,17.02,5,37.2,3.3,22.5,2.7,,4.3,4.4,0.305263158,13.5,2.9,4.7,4.6,2.9,3.2
25,1,1,1,1,15.08,14,215.8,31.7,8.6,3,3.6,3.2,7.8,0.337182448,8,2.2,12.5,9.4,25.4,6.9
26,1,1,1,1,13.16,5,44.1,19,8.7,5,,3.3,4.6,0.241590214,1.4,7.8,6.2,4.7,24.7,24
27,0,1,1,1,18.05,6,95.8,31.5,8.5,31.4,14.9,7.6,2,0.343137255,2,3,1.4,1.2,25.1,3.7
